Year,Team,Position,SoS_Color,SoS_Score
2025,ARI,QB,Orange,2
2025,ATL,QB,Red,1
2025,BAL,QB,Dark Green,4
2025,BUF,QB,Red,1
2025,CAR,QB,Orange,2
2025,CHI,QB,Light Green,3
2025,CIN,QB,Dark Green,4
2025,CLE,QB,Red,1
2025,DAL,QB,Dark Green,4
2025,DEN,QB,Red,1
2025,DET,QB,Light Green,3
2025,GNB,QB,Red,1
2025,HOU,QB,Red,1
2025,IND,QB,Light Green,3
2025,JAX,QB,Dark Green,4
2025,KAN,QB,Red,1
2025,LAC,QB,Orange,2
2025,LAR,QB,Orange,2
2025,LVR,QB,Light Green,3
2025,MIA,QB,Dark Green,4
2025,MIN,QB,Red,1
2025,NWE,QB,Orange,2
2025,NOR,QB,Dark Green,4
2025,NYG,QB,Dark Green,4
2025,NYJ,QB,Light Green,3
2025,PHI,QB,Orange,2
2025,PIT,QB,Light Green,3
2025,SEA,QB,Light Green,3
2025,SFO,QB,Orange,2
2025,TAM,QB,Light Green,3
2025,TEN,QB,Orange,2
2025,WAS,QB,Dark Green,4
2025,ARI,RB,Light Green,3
2025,ATL,RB,Orange,2
2025,BAL,RB,Dark Green,4
2025,BUF,RB,Light Green,3
2025,CAR,RB,Orange,2
2025,CHI,RB,Orange,2
2025,CIN,RB,Dark Green,4
2025,CLE,RB,Red,1
2025,DAL,RB,Dark Green,4
2025,DEN,RB,Orange,2
2025,DET,RB,Red,1
2025,GNB,RB,Red,1
2025,HOU,RB,Red,1
2025,IND,RB,Red,1
2025,JAX,RB,Orange,2
2025,KAN,RB,Orange,2
2025,LAC,RB,Dark Green,4
2025,LAR,RB,Red,1
2025,LVR,RB,Light Green,3
2025,MIA,RB,Dark Green,4
2025,MIN,RB,Red,1
2025,NWE,RB,Orange,2
2025,NOR,RB,Light Green,3
2025,NYG,RB,Light Green,3
2025,NYJ,RB,Orange,2
2025,PHI,RB,Dark Green,4
2025,PIT,RB,Red,1
2025,SEA,RB,Light Green,3
2025,SFO,RB,Light Green,3
2025,TAM,RB,Dark Green,4
2025,TEN,RB,Dark Green,4
2025,WAS,RB,Light Green,3
2025,ARI,WR,Orange,2
2025,ATL,WR,Red,1
2025,BAL,WR,Light Green,3
2025,BUF,WR,Red,1
2025,CAR,WR,Red,1
2025,CHI,WR,Orange,2
2025,CIN,WR,Orange,2
2025,CLE,WR,Orange,2
2025,DAL,WR,Dark Green,4
2025,DEN,WR,Red,1
2025,DET,WR,Dark Green,4
2025,GNB,WR,Orange,2
2025,HOU,WR,Red,1
2025,IND,WR,Dark Green,4
2025,JAX,WR,Dark Green,4
2025,KAN,WR,Red,1
2025,LAC,WR,Orange,2
2025,LAR,WR,Light Green,3
2025,LVR,WR,Dark Green,4
2025,MIA,WR,Red,1
2025,MIN,WR,Red,1
2025,NWE,WR,Light Green,3
2025,NOR,WR,Light Green,3
2025,NYG,WR,Dark Green,4
2025,NYJ,WR,Orange,2
2025,PHI,WR,Dark Green,4
2025,PIT,WR,Light Green,3
2025,SEA,WR,Light Green,3
2025,SFO,WR,Orange,2
2025,TAM,WR,Light Green,3
2025,TEN,WR,Light Green,3
2025,WAS,WR,Dark Green,4
2025,ARI,TE,Dark Green,4
2025,ATL,TE,Red,1
2025,BAL,TE,Orange,2
2025,BUF,TE,Red,1
2025,CAR,TE,Dark Green,4
2025,CHI,TE,Orange,2
2025,CIN,TE,Dark Green,4
2025,CLE,TE,Orange,2
2025,DAL,TE,Light Green,3
2025,DEN,TE,Orange,2
2025,DET,TE,Light Green,3
2025,GNB,TE,Dark Green,4
2025,HOU,TE,Red,1
2025,IND,TE,Dark Green,4
2025,JAX,TE,Light Green,3
2025,KAN,TE,Red,1
2025,LAC,TE,Red,1
2025,LAR,TE,Orange,2
2025,LVR,TE,Red,1
2025,MIA,TE,Dark Green,4
2025,MIN,TE,Red,1
2025,NWE,TE,Light Green,3
2025,NOR,TE,Light Green,3
2025,NYG,TE,Orange,2
2025,NYJ,TE,Dark Green,4
2025,PHI,TE,Red,1
2025,PIT,TE,Light Green,3
2025,SEA,TE,Dark Green,4
2025,SFO,TE,Orange,2
2025,TAM,TE,Light Green,3
2025,TEN,TE,Orange,2
2025,WAS,TE,Light Green,3
