Year,Team,Position,SoS_Color,SoS_Score
2021,ARI,QB,Red,1
2021,ATL,QB,Dark Green,4
2021,BAL,QB,Light Green,3
2021,BUF,QB,Red,1
2021,CAR,QB,Red,1
2021,CHI,QB,Red,1
2021,CIN,QB,Orange,2
2021,CLE,QB,Red,1
2021,DAL,QB,Orange,2
2021,DEN,QB,Red,1
2021,DET,QB,Light Green,3
2021,GNB,QB,Light Green,3
2021,HOU,QB,Light Green,3
2021,IND,QB,Light Green,3
2021,JAX,QB,Light Green,3
2021,KAN,QB,Red,1
2021,LAC,QB,Light Green,3
2021,LAR,QB,Red,1
2021,LVR,QB,Orange,2
2021,MIA,QB,Red,1
2021,MIN,QB,Light Green,3
2021,NWE,QB,Orange,2
2021,NOR,QB,Red,1
2021,NYG,QB,Orange,2
2021,NYJ,QB,Light Green,3
2021,PHI,QB,Light Green,3
2021,PIT,QB,Orange,2
2021,SEA,QB,Orange,2
2021,SFO,QB,Light Green,3
2021,TAM,QB,Light Green,3
2021,TEN,QB,Light Green,3
2021,WAS,QB,Light Green,3
2021,ARI,RB,Red,1
2021,ATL,RB,Light Green,3
2021,BAL,RB,Red,1
2021,BUF,RB,Orange,2
2021,CAR,RB,Red,1
2021,CHI,RB,Orange,2
2021,CIN,RB,Light Green,3
2021,CLE,RB,Orange,2
2021,DAL,RB,Red,1
2021,DEN,RB,Orange,2
2021,DET,RB,Dark Green,4
2021,GNB,RB,Red,1
2021,HOU,RB,Dark Green,4
2021,IND,RB,Red,1
2021,JAX,RB,Light Green,3
2021,KAN,RB,Light Green,3
2021,LAC,RB,Dark Green,4
2021,LAR,RB,Orange,2
2021,LVR,RB,Dark Green,4
2021,MIA,RB,Orange,2
2021,MIN,RB,Light Green,3
2021,NWE,RB,Light Green,3
2021,NOR,RB,Red,1
2021,NYG,RB,Dark Green,4
2021,NYJ,RB,Dark Green,4
2021,PHI,RB,Light Green,3
2021,PIT,RB,Dark Green,4
2021,SEA,RB,Dark Green,4
2021,SFO,RB,Orange,2
2021,TAM,RB,Orange,2
2021,TEN,RB,Red,1
2021,WAS,RB,Light Green,3
2021,ARI,WR,Dark Green,4
2021,ATL,WR,Dark Green,4
2021,BAL,WR,Dark Green,4
2021,BUF,WR,Red,1
2021,CAR,WR,Red,1
2021,CHI,WR,Orange,2
2021,CIN,WR,Orange,2
2021,CLE,WR,Red,1
2021,DAL,WR,Light Green,3
2021,DEN,WR,Light Green,3
2021,DET,WR,Light Green,3
2021,GNB,WR,Light Green,3
2021,HOU,WR,Light Green,3
2021,IND,WR,Light Green,3
2021,JAX,WR,Dark Green,4
2021,KAN,WR,Orange,2
2021,LAC,WR,Red,1
2021,LAR,WR,Dark Green,4
2021,LVR,WR,Red,1
2021,MIA,WR,Orange,2
2021,MIN,WR,Dark Green,4
2021,NWE,WR,Red,1
2021,NOR,WR,Light Green,3
2021,NYG,WR,Orange,2
2021,NYJ,WR,Orange,2
2021,PHI,WR,Red,1
2021,PIT,WR,Red,1
2021,SEA,WR,Orange,2
2021,SFO,WR,Light Green,3
2021,TAM,WR,Light Green,3
2021,TEN,WR,Dark Green,4
2021,WAS,WR,Dark Green,4
2021,ARI,TE,Red,1
2021,ATL,TE,Orange,2
2021,BAL,TE,Dark Green,4
2021,BUF,TE,Red,1
2021,CAR,TE,Orange,2
2021,CHI,TE,Red,1
2021,CIN,TE,Dark Green,4
2021,CLE,TE,Light Green,3
2021,DAL,TE,Light Green,3
2021,DEN,TE,Red,1
2021,DET,TE,Light Green,3
2021,GNB,TE,Light Green,3
2021,HOU,TE,Light Green,3
2021,IND,TE,Dark Green,4
2021,JAX,TE,Orange,2
2021,KAN,TE,Orange,2
2021,LAC,TE,Dark Green,4
2021,LAR,TE,Orange,2
2021,LVR,TE,Dark Green,4
2021,MIA,TE,Light Green,3
2021,MIN,TE,Orange,2
2021,NWE,TE,Red,1
2021,NOR,TE,Red,1
2021,NYG,TE,Orange,2
2021,NYJ,TE,Dark Green,4
2021,PHI,TE,Dark Green,4
2021,PIT,TE,Orange,2
2021,SEA,TE,Dark Green,4
2021,SFO,TE,Red,1
2021,TAM,TE,Light Green,3
2021,TEN,TE,Red,1
2021,WAS,TE,Light Green,3
