Team,Year,Opp1,Opp2,Opp3,Opp4,Opp5,Opp6,Opp7,Opp8,Opp9,Opp10,Opp11,Opp12,Opp13,Opp14,Opp15,Opp16,Opp17
PIT,2019,NWE,SEA,SFO,CIN,BAL,LAC,MIA,IND,LAR,CLE,CIN,CLE,ARI,BUF,NYJ,BAL,
SEA,2019,CIN,PIT,NOR,ARI,LAR,CLE,BAL,ATL,TAM,SFO,PHI,MIN,LAR,CAR,ARI,SFO,
SFO,2019,TAM,CIN,PIT,CLE,LAR,WAS,CAR,ARI,SEA,ARI,GNB,BAL,NOR,ATL,LAR,SEA,
TAM,2019,SFO,CAR,NYG,LAR,NOR,CAR,TEN,SEA,ARI,NOR,ATL,JAX,IND,DET,HOU,ATL,
TEN,2019,CLE,IND,JAX,ATL,BUF,DEN,LAC,TAM,CAR,KAN,JAX,IND,OAK,HOU,NOR,HOU,
WAS,2019,PHI,DAL,CHI,NYG,NWE,MIA,SFO,MIN,BUF,NYJ,DET,CAR,GNB,PHI,NYG,DAL,
ARI,2020,SFO,WAS,DET,CAR,NYJ,DAL,SEA,MIA,BUF,SEA,NWE,LAR,NYG,PHI,SFO,LAR,
ATL,2020,SEA,DAL,CHI,GNB,CAR,MIN,DET,CAR,DEN,NOR,LVR,NOR,LAC,TAM,KAN,TAM,
BAL,2020,CLE,HOU,KAN,WAS,CIN,PHI,PIT,IND,NWE,TEN,PIT,DAL,CLE,JAX,NYG,CIN,
BUF,2020,NYJ,MIA,LAR,LVR,TEN,KAN,NYJ,NWE,SEA,ARI,LAC,SFO,PIT,DEN,NWE,MIA,
CAR,2020,LVR,TAM,LAC,ARI,ATL,CHI,NOR,ATL,KAN,TAM,DET,MIN,DEN,GNB,WAS,NOR,
CHI,2020,DET,NYG,ATL,IND,TAM,CAR,LAR,NOR,TEN,MIN,GNB,DET,HOU,MIN,JAX,GNB,
CIN,2020,LAC,CLE,PHI,JAX,BAL,IND,CLE,TEN,PIT,WAS,NYG,MIA,DAL,PIT,HOU,BAL,
CLE,2020,BAL,CIN,WAS,DAL,IND,PIT,CIN,LVR,HOU,PHI,JAX,TEN,BAL,NYG,NYJ,PIT,
DAL,2020,LAR,ATL,SEA,CLE,NYG,ARI,WAS,PHI,PIT,MIN,WAS,BAL,CIN,SFO,PHI,NYG,
DEN,2020,TEN,PIT,TAM,NYJ,NWE,KAN,LAC,ATL,LVR,MIA,NOR,KAN,CAR,BUF,LAC,LVR,
DET,2020,CHI,GNB,ARI,NOR,JAX,ATL,IND,MIN,WAS,CAR,HOU,CHI,GNB,TEN,TAM,MIN,
GNB,2020,MIN,DET,NOR,ATL,TAM,HOU,MIN,SFO,JAX,IND,CHI,PHI,DET,CAR,TEN,CHI,
HOU,2020,KAN,BAL,PIT,MIN,JAX,TEN,GNB,JAX,CLE,NWE,DET,IND,CHI,IND,CIN,TEN,
IND,2020,JAX,MIN,NYJ,CHI,CLE,CIN,DET,BAL,TEN,GNB,TEN,HOU,LVR,HOU,PIT,JAX,
JAX,2020,IND,TEN,MIA,CIN,HOU,DET,LAC,HOU,GNB,PIT,CLE,MIN,TEN,BAL,CHI,IND,
LAC,2020,CIN,KAN,CAR,TAM,NOR,JAX,DEN,LVR,MIA,NYJ,BUF,NWE,ATL,LVR,DEN,KAN,
LVR,2020,CAR,NOR,NWE,BUF,KAN,TAM,CLE,LAC,DEN,KAN,ATL,NYJ,IND,LAC,MIA,DEN,
MIA,2020,NWE,BUF,JAX,SEA,SFO,NYJ,LAR,ARI,LAC,DEN,NYJ,CIN,KAN,NWE,LVR,BUF,
MIN,2020,GNB,IND,TEN,HOU,SEA,ATL,GNB,DET,CHI,DAL,CAR,JAX,TAM,CHI,NOR,DET,
NOR,2020,TAM,LVR,GNB,DET,LAC,CAR,CHI,TAM,SFO,ATL,DEN,ATL,PHI,KAN,MIN,CAR,
NWE,2020,MIA,SEA,LVR,KAN,DEN,SFO,BUF,NYJ,BAL,HOU,ARI,LAC,LAR,MIA,BUF,NYJ,
NYG,2020,PIT,CHI,SFO,LAR,DAL,WAS,PHI,TAM,WAS,PHI,CIN,SEA,ARI,CLE,BAL,DAL,
NYJ,2020,BUF,SFO,IND,DEN,ARI,MIA,BUF,KAN,NWE,LAC,MIA,LVR,SEA,LAR,CLE,NWE,
PHI,2020,WAS,LAR,CIN,SFO,PIT,BAL,NYG,DAL,NYG,CLE,SEA,GNB,NOR,ARI,DAL,WAS,
PIT,2020,NYG,DEN,HOU,PHI,CLE,TEN,BAL,DAL,CIN,JAX,BAL,WAS,BUF,CIN,IND,CLE,
SEA,2020,ATL,NWE,DAL,MIA,MIN,ARI,SFO,BUF,LAR,ARI,PHI,NYG,NYJ,WAS,LAR,SFO,
SFO,2020,ARI,NYJ,NYG,PHI,MIA,LAR,NWE,SEA,GNB,NOR,LAR,BUF,WAS,DAL,ARI,SEA,
TAM,2020,NOR,CAR,DEN,LAC,CHI,GNB,LVR,NYG,NOR,CAR,LAR,KAN,MIN,ATL,DET,ATL,
TEN,2020,DEN,JAX,MIN,BUF,HOU,PIT,CIN,CHI,IND,BAL,IND,CLE,JAX,DET,GNB,HOU,
WAS,2020,PHI,ARI,CLE,BAL,LAR,NYG,DAL,NYG,DET,CIN,DAL,PIT,SFO,SEA,CAR,PHI,
KAN,2020,HOU,LAC,BAL,NWE,LVR,BUF,DEN,NYJ,CAR,LVR,TAM,DEN,MIA,NOR,ATL,LAC,
LAR,2020,DAL,PHI,BUF,NYG,WAS,SFO,CHI,MIA,SEA,TAM,SFO,ARI,NWE,NYJ,SEA,ARI,
ARI,2021,TEN,MIN,JAX,LAR,SFO,CLE,HOU,GNB,SFO,CAR,SEA,CHI,LAR,DET,IND,DAL,SEA
ATL,2021,PHI,TAM,NYG,WAS,NYJ,MIA,CAR,NOR,DAL,NWE,JAX,TAM,CAR,SFO,DET,BUF,NOR
BAL,2021,LVR,KAN,DET,DEN,IND,LAC,CIN,MIN,MIA,CHI,CLE,PIT,CLE,GNB,CIN,LAR,PIT
BUF,2021,PIT,MIA,WAS,HOU,KAN,TEN,MIA,JAX,NYJ,IND,NOR,NWE,TAM,CAR,NWE,ATL,NYJ
CAR,2021,NYJ,NOR,HOU,DAL,PHI,MIN,NYG,ATL,NWE,ARI,WAS,MIA,ATL,BUF,TAM,NOR,TAM
CHI,2021,LAR,CIN,CLE,DET,LVR,GNB,TAM,SFO,PIT,BAL,DET,ARI,GNB,MIN,SEA,NYG,MIN
CIN,2021,MIN,CHI,PIT,JAX,GNB,DET,BAL,NYJ,CLE,LVR,PIT,LAC,SFO,DEN,BAL,KAN,CLE
CLE,2021,KAN,HOU,CHI,MIN,LAC,ARI,DEN,PIT,CIN,NWE,DET,BAL,BAL,LVR,GNB,PIT,CIN
DAL,2021,TAM,LAC,PHI,CAR,NYG,NWE,MIN,DEN,ATL,KAN,LVR,NOR,WAS,NYG,WAS,ARI,PHI
DEN,2021,NYG,JAX,NYJ,BAL,PIT,LVR,CLE,WAS,DAL,PHI,LAC,KAN,DET,CIN,LVR,LAC,KAN
DET,2021,SFO,GNB,BAL,CHI,MIN,CIN,LAR,PHI,PIT,CLE,CHI,MIN,DEN,ARI,ATL,SEA,GNB
GNB,2021,NOR,DET,SFO,PIT,CIN,CHI,WAS,ARI,KAN,SEA,MIN,LAR,CHI,BAL,CLE,MIN,DET
HOU,2021,JAX,CLE,CAR,BUF,NWE,IND,ARI,LAR,MIA,TEN,NYJ,IND,SEA,JAX,LAC,SFO,TEN
