Team,Year,Opp1,Opp2,Opp3,Opp4,Opp5,Opp6,Opp7,Opp8,Opp9,Opp10,Opp11,Opp12,Opp13,Opp14,Opp15,Opp16,Opp17
NWE,2022,MIA,PIT,BAL,GNB,DET,CLE,CHI,NYJ,IND,NYJ,MIN,BUF,ARI,LVR,CIN,MIA,BUF
NYG,2022,TEN,CAR,DAL,CHI,GNB,BAL,JAX,SEA,HOU,DET,DAL,WAS,PHI,WAS,MIN,IND,PHI
NYJ,2022,BAL,CLE,CIN,PIT,MIA,GNB,DEN,NWE,BUF,NWE,CHI,MIN,BUF,DET,JAX,SEA,MIA
PHI,2022,DET,MIN,WAS,JAX,ARI,DAL,PIT,HOU,WAS,IND,GNB,TEN,NYG,CHI,DAL,NOR,NYG
PIT,2022,CIN,NWE,CLE,NYJ,BUF,TAM,MIA,PHI,NOR,CIN,IND,ATL,BAL,CAR,LVR,BAL,CLE
SEA,2022,DEN,SFO,ATL,DET,NOR,ARI,LAC,NYG,ARI,TAM,LVR,LAR,CAR,SFO,KAN,NYJ,LAR
SFO,2022,CHI,SEA,DEN,LAR,CAR,ATL,KAN,LAR,LAC,ARI,NOR,MIA,TAM,SEA,WAS,LVR,ARI
TAM,2022,DAL,NOR,GNB,KAN,ATL,PIT,CAR,BAL,LAR,SEA,CLE,NOR,SFO,CIN,ARI,CAR,ATL
TEN,2022,NYG,BUF,LVR,IND,WAS,IND,HOU,KAN,DEN,GNB,CIN,PHI,JAX,LAC,HOU,DAL,JAX
WAS,2022,JAX,DET,PHI,DAL,TEN,CHI,GNB,IND,MIN,PHI,HOU,ATL,NYG,NYG,SFO,CLE,DAL
ARI,2023,WAS,NYG,DAL,SFO,CIN,LAR,SEA,BAL,CLE,ATL,HOU,LAR,PIT,SFO,CHI,PHI,SEA
ATL,2023,CAR,GNB,DET,JAX,HOU,WAS,TAM,TEN,MIN,ARI,NOR,NYJ,TAM,CAR,IND,CHI,NOR
BAL,2023,HOU,CIN,IND,CLE,PIT,TEN,DET,ARI,SEA,CLE,CIN,LAC,LAR,JAX,SFO,MIA,PIT
BUF,2023,NYJ,LVR,WAS,MIA,JAX,NYG,NWE,TAM,CIN,DEN,NYJ,PHI,KAN,DAL,LAC,NWE,MIA
CAR,2023,ATL,NOR,SEA,MIN,DET,MIA,HOU,IND,CHI,DAL,TEN,TAM,NOR,ATL,GNB,JAX,TAM
CHI,2023,GNB,TAM,KAN,DEN,WAS,MIN,LVR,LAC,NOR,CAR,DET,MIN,DET,CLE,ARI,ATL,GNB
CIN,2023,CLE,BAL,LAR,TEN,ARI,SEA,SFO,BUF,HOU,BAL,PIT,JAX,IND,MIN,PIT,KAN,CLE
CLE,2023,CIN,PIT,TEN,BAL,SFO,IND,SEA,ARI,BAL,PIT,DEN,LAR,JAX,CHI,HOU,NYJ,CIN
DAL,2023,NYG,NYJ,ARI,NWE,SFO,LAC,LAR,PHI,NYG,CAR,WAS,SEA,PHI,BUF,MIA,DET,WAS
DEN,2023,LVR,WAS,MIA,CHI,NYJ,KAN,GNB,BUF,MIN,CLE,HOU,LAC,DET,NWE,LAC,KAN,LVR
DET,2023,KAN,SEA,ATL,GNB,CAR,TAM,BAL,LVR,LAC,CHI,GNB,NOR,CHI,DEN,MIN,DAL,MIN
GNB,2023,CHI,ATL,NOR,DET,LVR,DEN,MIN,LAR,PIT,LAC,DET,NYG,TAM,CAR,MIN,CHI,KAN
HOU,2023,BAL,IND,JAX,PIT,ATL,NOR,CAR,TAM,CIN,ARI,JAX,DEN,NYJ,TEN,CLE,TEN,IND
IND,2023,JAX,HOU,BAL,LAR,TEN,JAX,CLE,NOR,NWE,TAM,TEN,CIN,PIT,ATL,LVR,NYG,HOU
JAX,2023,IND,KAN,HOU,ATL,BUF,IND,NOR,PIT,SFO,TEN,HOU,CIN,CLE,BAL,CAR,TEN,IND
KAN,2023,DET,JAX,CHI,NYJ,MIN,DEN,LAC,DEN,MIA,PHI,LVR,GNB,BUF,NWE,LVR,CIN,LAC
LAC,2023,MIA,TEN,MIN,LVR,DAL,KAN,CHI,NYJ,DET,GNB,BAL,NWE,DEN,BUF,LVR,KAN,DEN
LAR,2023,SEA,SFO,CIN,IND,PHI,ARI,PIT,DAL,GNB,BAL,CLE,ARI,WAS,NOR,NYG,SFO,SEA
LVR,2023,DEN,BUF,PIT,LAC,GNB,NWE,CHI,DET,NYG,NYJ,MIA,KAN,MIN,LAC,KAN,IND,DEN
MIA,2023,LAC,NWE,DEN,BUF,NYG,CAR,PHI,NWE,KAN,LVR,NYJ,WAS,TEN,NYJ,DAL,BAL,BUF
MIN,2023,TAM,PHI,LAC,CAR,KAN,CHI,SFO,GNB,ATL,NOR,DEN,CHI,LVR,CIN,DET,GNB,DET
NWE,2023,PHI,MIA,NYJ,DAL,NOR,LVR,BUF,MIA,WAS,IND,NYG,LAC,PIT,KAN,DEN,BUF,NYJ
NOR,2023,TEN,CAR,GNB,TAM,NWE,HOU,JAX,IND,CHI,MIN,ATL,DET,CAR,NYG,LAR,TAM,ATL
NYG,2023,DAL,ARI,SFO,SEA,BUF,WAS,NYJ,LVR,DAL,WAS,NWE,GNB,NOR,PHI,LAC,PHI,LAR
NYJ,2023,BUF,DAL,NWE,KAN,DEN,PHI,NYG,LAC,LVR,BUF,MIA,ATL,HOU,MIA,WAS,CLE,NWE
PHI,2023,NWE,MIN,TAM,WAS,LAR,NYJ,MIA,WAS,DAL,KAN,BUF,SFO,DAL,SEA,NYG,ARI,NYG
PIT,2023,SFO,CLE,LVR,HOU,BAL,LAR,JAX,TEN,GNB,CLE,CIN,ARI,NWE,IND,CIN,SEA,BAL
