Year,Team,Position,SoS_Color,SoS_Score
2020,ARI,QB,Light Green,3
2020,ARI,RB,Orange,2
2020,ARI,WR,Orange,2
2020,ARI,TE,Orange,2
2020,ATL,QB,Dark Green,4
2020,ATL,RB,Orange,2
2020,ATL,WR,Dark Green,4
2020,ATL,TE,Dark Green,4
2020,BAL,QB,Orange,2
2020,BAL,RB,Orange,2
2020,BAL,WR,Red,1
2020,BAL,TE,Light Green,3
2020,BUF,QB,Light Green,3
2020,BUF,RB,Light Green,3
2020,BUF,WR,Red,1
2020,BUF,TE,Light Green,3
2020,CAR,QB,Light Green,3
2020,CAR,RB,Dark Green,4
2020,CAR,WR,Orange,2
2020,CAR,TE,Dark Green,4
2020,CHI,QB,Orange,2
2020,CHI,RB,Red,1
2020,CHI,WR,Red,1
2020,CHI,TE,Dark Green,4
2020,CIN,QB,Orange,2
2020,CIN,RB,Light Green,3
2020,CIN,WR,Orange,2
2020,CIN,TE,Dark Green,4
2020,CLE,QB,Light Green,3
2020,CLE,RB,Red,1
2020,CLE,WR,Dark Green,4
2020,CLE,TE,Dark Green,4
2020,DAL,QB,Orange,2
2020,DAL,RB,Light Green,3
2020,DAL,WR,Dark Green,4
2020,DAL,TE,Red,1
2020,DEN,QB,Light Green,3
2020,DEN,RB,Light Green,3
2020,DEN,WR,Orange,2
2020,DEN,TE,Light Green,3
2020,DET,QB,Dark Green,4
2020,DET,RB,Dark Green,4
2020,DET,WR,Dark Green,4
2020,DET,TE,Orange,2
2020,GNB,QB,Red,1
2020,GNB,RB,Dark Green,4
2020,GNB,WR,Red,1
2020,GNB,TE,Red,1
2020,HOU,QB,Dark Green,4
2020,HOU,RB,Dark Green,4
2020,HOU,WR,Dark Green,4
2020,HOU,TE,Orange,2
2020,IND,QB,Red,1
2020,IND,RB,Orange,2
2020,IND,WR,Light Green,3
2020,IND,TE,Red,1
2020,JAX,QB,Dark Green,4
2020,JAX,RB,Dark Green,4
2020,JAX,WR,Light Green,3
2020,JAX,TE,Dark Green,4
2020,KAN,QB,Light Green,3
2020,KAN,RB,Dark Green,4
2020,KAN,WR,Red,1
2020,KAN,TE,Dark Green,4
2020,LAC,QB,Dark Green,4
2020,LAC,RB,Light Green,3
2020,LAC,WR,Orange,2
2020,LAC,TE,Light Green,3
2020,LAR,QB,Red,1
2020,LAR,RB,Red,1
2020,LAR,WR,Red,1
2020,LAR,TE,Orange,2
2020,LVR,QB,Dark Green,4
2020,LVR,RB,Dark Green,4
2020,LVR,WR,Light Green,3
2020,LVR,TE,Orange,2
2020,MIA,QB,Orange,2
2020,MIA,RB,Orange,2
2020,MIA,WR,Light Green,3
2020,MIA,TE,Red,1
2020,MIN,QB,Light Green,3
2020,MIN,RB,Dark Green,4
2020,MIN,WR,Light Green,3
2020,MIN,TE,Orange,2
2020,NWE,QB,Orange,2
2020,NWE,RB,Light Green,3
2020,NWE,WR,Red,1
2020,NWE,TE,Red,1
2020,NOR,QB,Red,1
2020,NOR,RB,Red,1
2020,NOR,WR,Light Green,3
2020,NOR,TE,Light Green,3
2020,NYG,QB,Red,1
2020,NYG,RB,Light Green,3
2020,NYG,WR,Orange,2
2020,NYG,TE,Orange,2
2020,NYJ,QB,Dark Green,4
2020,NYJ,RB,Orange,2
2020,NYJ,WR,Light Green,3
2020,NYJ,TE,Dark Green,4
2020,PHI,QB,Orange,2
2020,PHI,RB,Orange,2
2020,PHI,WR,Dark Green,4
2020,PHI,TE,Light Green,3
2020,PIT,QB,Red,1
2020,PIT,RB,Red,1
2020,PIT,WR,Orange,2
2020,PIT,TE,Red,1
2020,SFO,QB,Red,1
2020,SFO,RB,Red,1
2020,SFO,WR,Orange,2
2020,SFO,TE,Red,1
2020,SEA,QB,Light Green,3
2020,SEA,RB,Orange,2
2020,SEA,WR,Dark Green,4
2020,SEA,TE,Orange,2
2020,TAM,QB,Orange,2
2020,TAM,RB,Red,1
2020,TAM,WR,Light Green,3
2020,TAM,TE,Light Green,3
2020,TEN,QB,Dark Green,4
2020,TEN,RB,Light Green,3
2020,TEN,WR,Dark Green,4
2020,TEN,TE,Light Green,3
2020,WAS,QB,Red,1
2020,WAS,RB,Red,1
2020,WAS,WR,Red,1
2020,WAS,TE,Red,1
