Name,Year,Team,Position,Age,Games,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Lost,2PM,2PP,Fantasy_PPR,Fantasy_PPR_NextYear,Team_NextYear
Ricky Seals-Jones,2019,CLE,WR,24,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0,229.0,4.0,1.0,0.0,0.0,58.9,0.0,KAN
David Moore,2019,SEA,WR,24,14,0.0,0.0,0.0,0.0,0.0,3.0,25.0,0.0,34.0,17.0,301.0,2.0,1.0,0.0,0.0,59.6,118.8,SEA
Geronimo Allison,2019,GNB,WR,25,16,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,55.0,34.0,287.0,2.0,1.0,1.0,0.0,75.4,0.0,DET
Josh Reynolds,2019,LAR,WR,24,16,0.0,0.0,0.0,0.0,0.0,5.0,23.0,0.0,43.0,21.0,326.0,1.0,0.0,0.0,0.0,61.9,124.3,LAR
Damiere Byrd,2019,ARI,WR,26,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,32.0,359.0,1.0,1.0,0.0,0.0,71.9,114.9,NWE
Marcus Johnson,2019,IND,WR,25,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,17.0,277.0,2.0,0.0,0.0,0.0,56.7,39.5,IND
Seth Roberts,2019,BAL,WR,28,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,21.0,271.0,2.0,0.0,0.0,0.0,60.1,7.1,CAR
Miles Boykin,2019,BAL,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.0,198.0,3.0,0.0,0.0,0.0,50.8,69.6,BAL
DaeSean Hamilton,2019,DEN,WR,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,28.0,297.0,1.0,0.0,0.0,0.0,63.7,62.3,DEN
Isaiah McKenzie,2019,BUF,WR,24,15,0.0,0.0,0.0,0.0,0.0,8.0,49.0,0.0,39.0,27.0,254.0,1.0,0.0,0.0,0.0,63.3,99.6,BUF
Jakobi Meyers,2019,NWE,WR,23,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,26.0,359.0,0.0,0.0,0.0,0.0,61.9,142.5,NWE
Tavon Austin,2019,DAL,WR,29,14,0.0,0.0,0.0,0.0,0.0,6.0,47.0,1.0,24.0,13.0,177.0,1.0,0.0,0.0,0.0,47.4,5.0,GNB
Marvin Hall,2019,DET,WR,26,9,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,11.0,7.0,261.0,1.0,0.0,0.0,0.0,39.8,60.3,2TM
Vyncint Smith,2019,NYJ,WR,23,13,0.0,0.0,0.0,0.0,0.0,3.0,52.0,1.0,31.0,17.0,225.0,0.0,1.0,0.0,0.0,48.7,2.3,NYJ
Greg Ward,2019,PHI,WR,24,7,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,40.0,28.0,254.0,1.0,0.0,0.0,0.0,59.9,133.1,PHI
Pharoh Cooper,2019,2TM,WR,24,13,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,33.0,25.0,243.0,1.0,0.0,0.0,0.0,55.5,12.3,CAR
Keke Coutee,2019,HOU,WR,22,9,0.0,0.0,0.0,0.0,0.0,2.0,14.0,1.0,36.0,22.0,254.0,0.0,1.0,0.0,0.0,52.8,87.0,HOU
Malik Turner,2019,SEA,WR,23,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.0,245.0,1.0,0.0,0.0,0.0,45.5,0.0,DAL
Chester Rogers,2019,IND,WR,25,12,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,28.0,16.0,179.0,2.0,1.0,0.0,0.0,45.7,65.0,TEN
DeSean Jackson,2019,PHI,WR,33,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,159.0,2.0,0.0,0.0,0.0,36.9,44.8,PHI
Jake Kumerow,2019,GNB,WR,27,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.0,219.0,1.0,0.0,0.0,0.0,39.9,9.2,BUF
Scott Miller,2019,TAM,WR,22,10,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,26.0,13.0,200.0,1.0,0.0,0.0,0.0,40.6,102.5,TAM
Justin Watson,2019,TAM,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.0,159.0,2.0,0.0,0.0,0.0,42.9,16.4,TAM
Jakeem Grant,2019,MIA,WR,27,10,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,33.0,19.0,164.0,0.0,1.0,0.0,0.0,45.9,87.3,MIA
N'Keal Harry,2019,NWE,WR,22,7,0.0,0.0,0.0,0.0,0.0,5.0,49.0,0.0,24.0,12.0,105.0,2.0,0.0,0.0,0.0,39.4,73.9,NWE
Isaiah Ford,2019,MIA,WR,23,8,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,35.0,23.0,244.0,0.0,0.0,0.0,0.0,48.5,55.6,MIA
Marquise Goodwin,2019,SFO,WR,29,9,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,21.0,12.0,186.0,1.0,0.0,0.0,0.0,38.1,57.2,CHI
Andy Isabella,2019,ARI,WR,23,15,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,13.0,9.0,189.0,1.0,0.0,0.0,0.0,35.4,54.8,ARI
Trey Quinn,2019,WAS,WR,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,26.0,198.0,1.0,1.0,1.0,0.0,51.8,0.0,JAX
Damion Ratley,2019,CLE,WR,24,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,200.0,1.0,0.0,0.0,0.0,38.0,10.3,NYG
Dan Arnold,2019,2TM,WR,24,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,127.0,2.0,0.0,0.0,0.0,32.7,96.8,ARI
KeeSean Johnson,2019,ARI,WR,23,10,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,42.0,21.0,187.0,1.0,1.0,1.0,0.0,46.0,32.3,ARI
Cordarrelle Patterson,2019,CHI,WR,28,16,0.0,0.0,0.0,0.0,0.0,17.0,103.0,0.0,17.0,11.0,83.0,0.0,0.0,0.0,0.0,35.6,69.4,CHI
Javon Wims,2019,CHI,WR,25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,18.0,186.0,1.0,0.0,0.0,0.0,42.6,17.0,CHI
