Draft_Year,Round,Pick,Team,Player_draft,Position,Age,College_draft,Conf,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rushing_Att,Rushing_Yds,Rushing_TD,Rec,Receiving_Yds,Receiving_TD
2025,6,193,CIN,Tahj Brooks,RB,23.0,Texas Tech,Big 12,11.0,0.0,0.0,0.0,0.0,0.0,286.0,1505.0,17.0,28.0,199.0,1.0
2025,6,197,HOU,Graham Mertz,QB,24.0,Florida,SEC,5.0,72.0,94.0,791.0,6.0,2.0,18.0,56.0,1.0,0.0,0.0,0.0
2025,6,202,MIN,Gavin Bartholomew,TE,22.0,Pittsburgh,ACC,13.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,38.0,322.0,4.0
2025,6,203,BAL,LaJohntay Wester,WR,23.0,Colorado,Big 12,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,74.0,931.0,10.0
2025,6,208,CAR,Jimmy Horn,WR,22.0,Colorado,Big 12,11.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,37.0,441.0,1.0
2025,6,213,LVR,Tommy Mellott,QB,,Montana State,,,,,,,,,,,,,
2025,6,215,LVR,Cam Miller,QB,24.0,North Dakota State,,,,,,,,,,,,,
2025,7,219,NYG,Thomas Fidone,TE,22.0,Nebraska,Big Ten,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,373.0,0.0
2025,7,223,SEA,Damien Martinez,RB,21.0,Miami (FL),ACC,13.0,0.0,0.0,0.0,0.0,0.0,159.0,1002.0,10.0,17.0,204.0,0.0
2025,7,227,SFO,Kurtis Rourke,QB,24.0,Indiana,Big Ten,12.0,222.0,320.0,3042.0,29.0,5.0,46.0,-35.0,2.0,0.0,0.0,0.0
2025,7,228,KAN,Brashard Smith,RB,22.0,SMU,ACC,14.0,0.0,0.0,0.0,0.0,0.0,235.0,1332.0,14.0,39.0,327.0,4.0
2025,7,231,MIA,Quinn Ewers,QB,22.0,Texas,SEC,14.0,293.0,445.0,3472.0,31.0,12.0,57.0,-82.0,2.0,0.0,0.0,0.0
2025,7,233,CHI,Kyle Monangai,RB,23.0,Rutgers,Big Ten,11.0,0.0,0.0,0.0,0.0,0.0,256.0,1279.0,13.0,14.0,75.0,1.0
2025,7,235,TAM,Tez Johnson,WR,23.0,Oregon,Big Ten,12.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,83.0,898.0,10.0
