Name,Year,Team,Position,Age,Games,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Lost,2PM,2PP,Fantasy_PPR,Fantasy_PPR_NextYear,Team_NextYear
Ross Dwelley,2019,SFO,TE,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.0,91.0,2.0,0.0,0.0,0.0,36.1,49.5,SFO
Jaeden Graham,2019,ATL,TE,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,149.0,1.0,0.0,0.0,0.0,29.9,5.5,ATL
Derek Carrier,2019,OAK,TE,29,16,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,19.0,13.0,108.0,1.0,0.0,0.0,0.0,32.5,2.4,LVR
Ian Thomas,2019,CAR,TE,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,16.0,136.0,1.0,0.0,0.0,0.0,35.6,40.5,CAR
Matt LaCosse,2019,NWE,TE,27,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,131.0,1.0,0.0,0.0,0.0,32.1,0.0,NWE
Ryan Izzo,2019,NWE,TE,24,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,114.0,1.0,0.0,0.0,0.0,23.4,30.9,NWE
Nick Vannett,2019,2TM,TE,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,166.0,0.0,0.0,0.0,0.0,33.6,29.5,DEN
Andrew Beck,2019,DEN,TE,23,16,1.0,1.0,6.0,0.0,0.0,1.0,3.0,0.0,12.0,9.0,90.0,1.0,0.0,0.0,0.0,24.5,0.0,DEN
Hale Hentges,2019,WAS,TE,23,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,103.0,1.0,0.0,0.0,0.0,24.3,0.0,MIN
Robert Tonyan,2019,GNB,TE,25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,100.0,1.0,0.0,0.0,0.0,26.0,176.6,GNB
MyCole Pruitt,2019,TEN,TE,27,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,90.0,1.0,0.0,0.0,0.0,21.0,27.9,TEN
Seth Devalve,2019,JAX,TE,26,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,140.0,0.0,0.0,0.0,0.0,26.0,0.0,ARI
Virgil Green,2019,LAC,TE,31,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,78.0,1.0,0.0,0.0,0.0,22.8,14.0,LAC
Jesse James,2019,DET,TE,25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.0,142.0,0.0,0.0,0.0,0.0,30.2,38.9,DET
Jesper Horsted,2019,CHI,TE,22,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,87.0,1.0,1.0,0.0,0.0,20.7,16.1,CHI
Tyler Kroft,2019,BUF,TE,27,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,71.0,1.0,0.0,0.0,0.0,19.1,41.9,BUF
Stephen Carlson,2019,CLE,TE,23,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,51.0,1.0,0.0,0.0,0.0,16.1,4.1,CLE
Tommy Sweeney,2019,BUF,TE,24,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,114.0,0.0,0.0,0.0,0.0,19.4,19.4,BUF
