Name,Team,Position,Age,Games,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Lost,2PM,2PP,Fantasy_PPR,Fantasy_PPR_NextYear
Breece Hall,NYJ,RB,23,16,0.0,0.0,0.0,0.0,0.0,209.0,876.0,5.0,76.0,57.0,483.0,3.0,2.0,2.0,0.0,240.9,
Malik Nabers,NYG,WR,21,15,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,170.0,109.0,1204.0,7.0,0.0,1.0,0.0,273.6,
Bo Nix,DEN,QB,24,17,376.0,567.0,3775.0,29.0,12.0,92.0,430.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,317.2,
Jalen Hurts,PHI,QB,26,15,248.0,361.0,2903.0,18.0,5.0,150.0,630.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,315.1,
CeeDee Lamb,DAL,WR,25,15,0.0,0.0,0.0,0.0,0.0,14.0,70.0,0.0,152.0,101.0,1194.0,6.0,1.0,1.0,0.0,263.4,
Sam LaPorta,DET,TE,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,60.0,726.0,7.0,0.0,0.0,0.0,174.6,
Courtland Sutton,DEN,WR,29,17,2.0,2.0,30.0,1.0,0.0,0.0,0.0,0.0,135.0,81.0,1081.0,8.0,1.0,0.0,0.0,240.3,
Ladd McConkey,LAC,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,82.0,1149.0,7.0,0.0,1.0,0.0,240.9,
Tucker Kraft,GNB,TE,24,17,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,70.0,50.0,707.0,7.0,1.0,1.0,0.0,163.3,
Zach Ertz,WAS,TE,34,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,66.0,654.0,7.0,0.0,2.0,0.0,177.4,
Davante Adams,2TM,WR,32,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,85.0,1063.0,8.0,0.0,1.0,0.0,241.3,
Sam Darnold,MIN,QB,27,17,361.0,545.0,4319.0,35.0,12.0,67.0,212.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,308.0,
Jameson Williams,DET,WR,23,15,0.0,0.0,0.0,0.0,0.0,11.0,61.0,1.0,91.0,58.0,1001.0,7.0,0.0,0.0,0.0,212.2,
D'Andre Swift,CHI,RB,25,17,0.0,0.0,0.0,0.0,0.0,253.0,959.0,6.0,52.0,42.0,386.0,0.0,0.0,1.0,0.0,214.5,
Jaxon Smith-Njigba,SEA,WR,22,17,1.0,1.0,35.0,0.0,0.0,5.0,26.0,0.0,137.0,100.0,1130.0,6.0,0.0,0.0,0.0,253.0,
Jerry Jeudy,CLE,WR,25,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,90.0,1229.0,4.0,0.0,2.0,0.0,240.9,
Garrett Wilson,NYJ,WR,24,17,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,154.0,101.0,1104.0,7.0,2.0,1.0,0.0,251.9,
Najee Harris,PIT,RB,26,17,0.0,0.0,0.0,0.0,0.0,263.0,1043.0,6.0,48.0,36.0,283.0,0.0,0.0,0.0,0.0,204.6,
Jordan Addison,MIN,WR,22,15,0.0,0.0,0.0,0.0,0.0,3.0,20.0,1.0,99.0,63.0,875.0,9.0,0.0,0.0,0.0,212.5,
A.J. Brown,PHI,WR,27,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,67.0,1079.0,7.0,0.0,0.0,0.0,216.9,
Tee Higgins,CIN,WR,25,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,73.0,911.0,10.0,1.0,0.0,0.0,222.1,
Pat Freiermuth,PIT,TE,26,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,65.0,653.0,7.0,2.0,0.0,0.0,168.3,
Kyler Murray,ARI,QB,27,17,372.0,541.0,3851.0,21.0,11.0,78.0,572.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,297.2,
Travis Kelce,KAN,TE,35,16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,133.0,97.0,823.0,3.0,1.0,0.0,0.0,195.4,
Nico Collins,HOU,WR,25,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,68.0,1006.0,7.0,0.0,0.0,0.0,210.6,
Jayden Reed,GNB,WR,24,17,0.0,0.0,0.0,0.0,0.0,20.0,163.0,1.0,75.0,55.0,857.0,6.0,1.0,0.0,0.0,197.0,
J.K. Dobbins,LAC,RB,26,13,0.0,0.0,0.0,0.0,0.0,195.0,905.0,9.0,38.0,32.0,153.0,0.0,0.0,0.0,0.0,191.8,
Tony Pollard,TEN,RB,27,16,0.0,0.0,0.0,0.0,0.0,260.0,1079.0,5.0,57.0,41.0,238.0,0.0,2.0,1.0,0.0,200.7,
Rico Dowdle,DAL,RB,26,16,0.0,0.0,0.0,0.0,0.0,235.0,1079.0,2.0,49.0,39.0,249.0,3.0,2.0,0.0,0.0,197.8,
D.J. Moore,CHI,WR,27,17,0.0,1.0,0.0,0.0,0.0,14.0,75.0,0.0,140.0,98.0,966.0,6.0,1.0,1.0,0.0,238.1,
Tyreek Hill,MIA,WR,30,17,0.0,0.0,0.0,0.0,0.0,8.0,53.0,0.0,123.0,81.0,959.0,6.0,0.0,0.0,0.0,218.2,
Zay Flowers,BAL,WR,24,17,0.0,0.0,0.0,0.0,0.0,9.0,56.0,0.0,116.0,74.0,1059.0,4.0,0.0,0.0,0.0,209.5,
Marvin Harrison Jr.,ARI,WR,22,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,62.0,885.0,8.0,1.0,0.0,0.0,196.5,
Calvin Ridley,TEN,WR,30,17,0.0,0.0,0.0,0.0,0.0,8.0,55.0,1.0,120.0,64.0,1017.0,4.0,1.0,0.0,0.0,199.2,
Jauan Jennings,SFO,WR,27,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,77.0,975.0,6.0,0.0,0.0,0.0,210.5,
Justin Herbert,LAC,QB,26,17,332.0,504.0,3870.0,23.0,3.0,69.0,306.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,285.4,
DeVonta Smith,PHI,WR,26,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,89.0,68.0,833.0,8.0,0.0,0.0,0.0,199.4,
Jakobi Meyers,LVR,WR,28,15,0.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,129.0,87.0,1027.0,4.0,0.0,1.0,0.0,218.0,
Patrick Mahomes,KAN,QB,29,16,392.0,581.0,3928.0,26.0,11.0,58.0,307.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,283.0,
Brock Purdy,SFO,QB,25,15,300.0,455.0,3864.0,20.0,12.0,66.0,323.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,266.9,
Geno Smith,SEA,QB,34,17,407.0,578.0,4320.0,21.0,15.0,53.0,272.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,
Aaron Rodgers,NYJ,QB,41,17,368.0,584.0,3897.0,28.0,11.0,22.0,107.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,256.6,
Caleb Williams,CHI,QB,23,17,351.0,562.0,3541.0,20.0,6.0,81.0,489.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,254.5,
Jordan Love,GNB,QB,26,15,268.0,425.0,3389.0,25.0,11.0,25.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,233.9,
C.J. Stroud,HOU,QB,23,17,336.0,532.0,3727.0,20.0,12.0,52.0,233.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,220.4,
Matthew Stafford,LAR,QB,36,16,340.0,517.0,3762.0,20.0,8.0,30.0,41.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,214.6,
Bryce Young,CAR,QB,23,14,234.0,384.0,2403.0,15.0,9.0,43.0,249.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,195.0,
Tua Tagovailoa,MIA,QB,26,11,291.0,399.0,2867.0,19.0,7.0,17.0,49.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,181.6,
Drake Maye,NWE,QB,22,13,225.0,338.0,2276.0,15.0,10.0,54.0,421.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,177.1,
Kirk Cousins,ATL,QB,36,14,303.0,453.0,3508.0,18.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,176.3,
Russell Wilson,PIT,QB,36,11,214.0,336.0,2482.0,16.0,5.0,43.0,155.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,172.8,
Anthony Richardson,IND,QB,22,11,126.0,264.0,1814.0,8.0,12.0,86.0,499.0,6.0,1.0,1.0,-1.0,0.0,3.0,1.0,0.0,163.4,
Derek Carr,NOR,QB,33,10,189.0,279.0,2145.0,15.0,5.0,17.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150.9,
Rachaad White,TAM,RB,25,16,0.0,0.0,0.0,0.0,0.0,144.0,613.0,3.0,57.0,51.0,393.0,6.0,3.0,0.0,0.0,199.6,
Zach Charbonnet,SEA,RB,23,17,0.0,0.0,0.0,0.0,0.0,135.0,569.0,8.0,52.0,42.0,340.0,1.0,0.0,0.0,0.0,186.9,
Trevor Lawrence,JAX,QB,25,10,172.0,284.0,2045.0,11.0,7.0,26.0,119.0,3.0,0.0,0.0,-5.0,0.0,1.0,0.0,3.0,145.2,
Tyrone Tracy Jr.,NYG,RB,25,17,0.0,0.0,0.0,0.0,0.0,192.0,839.0,5.0,53.0,38.0,284.0,1.0,2.0,0.0,0.0,182.3,
Rhamondre Stevenson,NWE,RB,26,15,0.0,0.0,0.0,0.0,0.0,207.0,801.0,7.0,41.0,33.0,168.0,1.0,3.0,2.0,0.0,175.9,
Brian Robinson Jr.,WAS,RB,25,14,0.0,0.0,0.0,0.0,0.0,187.0,799.0,8.0,25.0,20.0,159.0,0.0,2.0,0.0,0.0,159.8,
Daniel Jones,NYG,QB,27,10,216.0,341.0,2070.0,8.0,7.0,67.0,265.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,135.3,
Kenneth Walker III,SEA,RB,24,11,0.0,0.0,0.0,0.0,0.0,153.0,573.0,7.0,53.0,46.0,299.0,1.0,0.0,0.0,0.0,181.2,
Kareem Hunt,KAN,RB,29,13,0.0,0.0,0.0,0.0,0.0,200.0,728.0,7.0,32.0,23.0,176.0,0.0,0.0,0.0,0.0,155.4,
Jameis Winston,CLE,QB,30,12,181.0,296.0,2121.0,13.0,12.0,25.0,83.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,131.1,
