,PK,QB,RB,TE,WR
Ridge_train,3.969565407368164,6.040868019446198,6.353083100283014,5.080369300080322,6.590228942704229
ElasticNet_train,4.397202973401844,7.057761992461797,7.2917544157169,5.6566024416385146,7.39539481353625
RandomForestRegressor_train,4.050032287629715,6.319164162659375,6.633177452102839,5.084303418967777,6.734150009618369
Ridge_cv,7.007773880296176,7.007773880296176,7.007773880296176,7.007773880296176,7.007773880296176
ElasticNet_cv,6.8336599561991385,6.8336599561991385,6.8336599561991385,6.8336599561991385,6.8336599561991385
RandomForestRegressor_cv,6.8091381394502575,6.790610781878135,6.798247293408871,6.785606837207219,6.792015297612734
Ridge_test,4.359713483713367,7.376586347481959,8.015805881593785,5.545076717186479,7.604175366369748
ElasticNet_test,4.100988733224785,7.123971783108656,7.476991447383534,5.475811566286792,7.155449190971038
RandomForestRegressor_test,4.143457107208454,7.115593392050503,7.4300902648368385,5.522170864537479,7.2680440042187
