Player,Draft_Year,Team,Conf,G,Cmp,Att,Yds,TD,Int,Rushing_Att,Rushing_Yds,Rushing_TD
Aaron Young,2020,Duke,ACC,12.0,0.0,2.0,0.0,0.0,1.0,,,
Aaron Young,2020,Rutgers,Big Ten,,,,,,,43.0,153.0,0.0
Aaron Young,2021,Rutgers,Big Ten,9.0,0.0,1.0,0.0,0.0,0.0,35.0,96.0,1.0
Aaron Young,2022,Rutgers,Big Ten,,,,,,,56.0,208.0,5.0
Aaron Young,2023,Rutgers,Big Ten,,,,,,,11.0,38.0,0.0
Aaron Young,2024,Rutgers,Big Ten,,,,,,,16.0,94.0,1.0
Abdul Adams,2020,Syracuse,ACC,,,,,,,87.0,336.0,3.0
Abdul Adams,2022,Syracuse,ACC,,,,,,,13.0,56.0,0.0
Abdul-Fatai Ibrahim,2024,Bowling Green,MAC,,,,,,,3.0,6.0,0.0
Abdur-Rahmaan Yaseen,2023,Purdue,Big Ten,8.0,1.0,1.0,26.0,0.0,0.0,,,
Abraham Alce,2022,Louisiana-Monroe,Sun Belt,,,,,,,15.0,17.0,2.0
Abram Smith,2020,Baylor,Big 12,,,,,,,8.0,35.0,1.0
Abram Smith,2022,Baylor,Big 12,,,,,,,257.0,1621.0,12.0
Abu Sama,2024,Iowa State,Big 12,,,,,,,84.0,614.0,6.0
Adam Barry,2020,Temple,American,13.0,1.0,1.0,0.0,0.0,0.0,,,
Adam Barry,2022,Temple,American,,,,,,,1.0,15.0,0.0
Adam Cofield,2022,Western Kentucky,CUSA,,,,,,,80.0,371.0,4.0
Adam Korsak,2021,Rutgers,Big Ten,,,,,,,1.0,17.0,0.0
Adam Korsak,2022,Rutgers,Big Ten,,,,,,,1.0,-8.0,0.0
Adam Krumholz,2021,Wisconsin,Big Ten,,,,,,,1.0,-8.0,0.0
Adam Martin,2022,Oklahoma State,Big 12,,,,,,,1.0,9.0,0.0
Adam Prentice,2020,Colorado State,MWC,,,,,,,1.0,1.0,0.0
Adam Williams,2020,Memphis,American,14.0,1.0,1.0,29.0,0.0,0.0,,,
Addai Lewellen,2024,Purdue,Big Ten,,,,,,,1.0,-2.0,0.0
Adonai Mitchell,2024,Texas,Big 12,,,,,,,2.0,1.0,0.0
Adonicas Sanders,2023,Temple,American,,,,,,,6.0,22.0,0.0
Adrian Hardy,2020,Louisiana Tech,CUSA,10.0,0.0,1.0,0.0,0.0,0.0,,,
Adrian Hardy,2021,Louisiana Tech,CUSA,7.0,0.0,1.0,0.0,0.0,0.0,,,
Adrian Killins,2020,UCF,American,,,,,,,87.0,629.0,7.0
Adrian Martinez,2020,Nebraska,Big Ten,10.0,149.0,251.0,1956.0,10.0,9.0,144.0,626.0,7.0
Adrian Martinez,2021,Nebraska,Big Ten,7.0,108.0,151.0,1055.0,4.0,3.0,91.0,521.0,7.0
Adrian Martinez,2022,Nebraska,Big Ten,11.0,189.0,306.0,2863.0,14.0,10.0,133.0,525.0,13.0
Adrian Martinez,2023,Kansas State,Big 12,10.0,118.0,184.0,1261.0,6.0,1.0,111.0,627.0,10.0
Adrian Murdaugh,2024,Sam Houston,CUSA,,,,,,,26.0,121.0,2.0
Ahmad Edwards,2024,Ball State,MAC,,,,,,,2.0,12.0,0.0
Ahmad Haston,2024,Massachusetts,Ind,3.0,11.0,17.0,176.0,2.0,1.0,16.0,54.0,0.0
Ahmani Marshall,2021,Wake Forest,ACC,,,,,,,6.0,18.0,0.0
Ahmani Marshall,2022,Wake Forest,ACC,,,,,,,23.0,103.0,0.0
Ahmani Marshall,2023,Appalachian State,Sun Belt,,,,,,,76.0,389.0,4.0
Ahmani Marshall,2024,Appalachian State,Sun Belt,,,,,,,20.0,65.0,2.0
Ahmarean Brown,2020,Georgia Tech,ACC,,,,,,,1.0,2.0,0.0
Ahmarean Brown,2021,Georgia Tech,ACC,7.0,1.0,1.0,9.0,1.0,0.0,2.0,-1.0,1.0
Ahmarean Brown,2022,South Carolina,SEC,,,,,,,1.0,0.0,0.0
Ahmarean Brown,2023,South Carolina,SEC,,,,,,,5.0,50.0,0.0
Ahmarean Brown,2024,South Carolina,SEC,,,,,,,2.0,0.0,0.0
Ahmari Davis,2020,New Mexico,MWC,,,,,,,140.0,832.0,7.0
Ahmari Huggins-Bruce,2022,Louisville,ACC,,,,,,,2.0,15.0,0.0
Ahmari Huggins-Bruce,2023,Louisville,ACC,,,,,,,3.0,4.0,0.0
Ahmari Huggins-Bruce,2024,Louisville,ACC,,,,,,,6.0,48.0,1.0
Ahmarian Granger,2024,Old Dominion,Sun Belt,13.0,1.0,1.0,30.0,1.0,0.0,2.0,17.0,0.0
Ahmonte Watkins,2022,Texas Christian,Big 12,,,,,,,12.0,49.0,0.0
Ahmonte Watkins,2023,New Mexico State,Ind,,,,,,,39.0,248.0,4.0
Ahmonte Watkins,2024,New Mexico State,CUSA,,,,,,,59.0,572.0,2.0
Ahrod Lloyd,2020,Indiana,Big Ten,,,,,,,10.0,19.0,0.0
Aidan Chiles,2024,Oregon State,Pac-12,9.0,24.0,35.0,309.0,4.0,0.0,17.0,79.0,3.0
Aidan Laughery,2023,Illinois,Big Ten,,,,,,,3.0,9.0,0.0
Aidan Laughery,2024,Illinois,Big Ten,,,,,,,16.0,81.0,1.0
Aidan O'Connell,2020,Purdue,Big Ten,6.0,103.0,164.0,1101.0,8.0,4.0,15.0,-9.0,0.0
Aidan O'Connell,2021,Purdue,Big Ten,3.0,88.0,136.0,916.0,7.0,2.0,12.0,-64.0,0.0
Aidan O'Connell,2022,Purdue,Big Ten,12.0,315.0,439.0,3712.0,28.0,11.0,25.0,-120.0,1.0
Aidan O'Connell,2023,Purdue,Big Ten,12.0,320.0,499.0,3490.0,22.0,13.0,43.0,-81.0,1.0
Aidan Robbins,2021,Louisville,ACC,,,,,,,5.0,10.0,0.0
Aidan Robbins,2022,Louisville,ACC,,,,,,,2.0,41.0,1.0
Aidan Robbins,2023,Nevada-Las Vegas,MWC,,,,,,,209.0,1009.0,9.0
Aidan Robbins,2024,BYU,Big 12,,,,,,,101.0,485.0,1.0
Aidan Swanson,2024,Clemson,ACC,,,,,,,1.0,4.0,0.0
Aiden Calvert,2023,Air Force,MWC,,,,,,,4.0,45.0,1.0
Aiden Calvert,2024,Air Force,MWC,,,,,,,23.0,177.0,0.0
Aiden Smith,2020,Northwestern,Big Ten,9.0,86.0,171.0,760.0,3.0,9.0,72.0,211.0,1.0
Ainias Smith,2020,Texas A&M,SEC,,,,,,,7.0,54.0,0.0
Ainias Smith,2021,Texas A&M,SEC,,,,,,,49.0,293.0,4.0
Ainias Smith,2022,Texas A&M,SEC,,,,,,,8.0,26.0,0.0
Ainias Smith,2023,Texas A&M,SEC,,,,,,,3.0,11.0,0.0
Ainias Smith,2024,Texas A&M,SEC,,,,,,,5.0,21.0,0.0
Ajani Sheppard,2024,Rutgers,Big Ten,1.0,2.0,2.0,23.0,0.0,0.0,1.0,10.0,0.0
Ajay Allen,2023,Nebraska,Big Ten,,,,,,,33.0,190.0,2.0
Ajay Allen,2024,Miami (FL),ACC,,,,,,,70.0,361.0,5.0
Akeem Hayes,2020,Kentucky,SEC,,,,,,,1.0,2.0,0.0
Akilian Butler,2020,Boise State,MWC,,,,,,,8.0,54.0,1.0
Al-Jay Henderson,2023,Buffalo,MAC,,,,,,,59.0,301.0,3.0
Al-Jay Henderson,2024,Buffalo,MAC,,,,,,,5.0,0.0,1.0
Al-Shadee Salaam,2023,Rutgers,Big Ten,,,,,,,57.0,210.0,2.0
Al-Shadee Salaam,2024,Rutgers,Big Ten,,,,,,,6.0,28.0,1.0
Alan Bowman,2020,Texas Tech,Big 12,3.0,101.0,154.0,1020.0,6.0,3.0,7.0,14.0,1.0
Alan Bowman,2021,Texas Tech,Big 12,8.0,150.0,232.0,1602.0,10.0,7.0,10.0,3.0,0.0
Alan Bowman,2022,Michigan,Big Ten,3.0,2.0,4.0,9.0,0.0,1.0,,,
Alan Bowman,2023,Michigan,Big Ten,4.0,6.0,7.0,60.0,1.0,0.0,,,
Alan Bowman,2024,Oklahoma State,Big 12,14.0,304.0,501.0,3460.0,15.0,14.0,26.0,24.0,2.0
Alan Lamar,2022,Arkansas State,Sun Belt,,,,,,,62.0,231.0,1.0
Alante Brown,2021,Nebraska,Big Ten,,,,,,,1.0,18.0,0.0
Alante Brown,2023,Nebraska,Big Ten,,,,,,,1.0,-1.0,0.0
Alante Brown,2024,Michigan State,Big Ten,11.0,1.0,1.0,42.0,0.0,0.0,10.0,4.0,0.0
Alante Thomas,2020,Michigan State,Big Ten,,,,,,,2.0,1.0,1.0
Alec Hallman,2020,Florida International,CUSA,6.0,0.0,1.0,0.0,0.0,1.0,,,
Alec Sinkfield,2020,West Virginia,Big 12,,,,,,,17.0,41.0,0.0
Alec Sinkfield,2021,West Virginia,Big 12,,,,,,,78.0,327.0,3.0
Alec Sinkfield,2022,Boston College,ACC,,,,,,,85.0,350.0,2.0
Alec Sinkfield,2023,Boston College,ACC,,,,,,,3.0,4.0,0.0
Alec Wyble-Meza,2020,BYU,Ind,,,,,,,3.0,6.0,0.0
Aleva Hifo,2020,BYU,Ind,12.0,1.0,1.0,22.0,0.0,0.0,23.0,104.0,2.0
Alex Bales,2023,Oregon,Pac-12,,,,,,,1.0,-11.0,0.0
Alex Berrouet,2022,Colorado State,MWC,,,,,,,7.0,50.0,0.0
Alex Broome,2023,Boston College,ACC,,,,,,,50.0,225.0,1.0
Alex Broome,2024,Boston College,ACC,,,,,,,60.0,288.0,1.0
Alex Delton,2020,Texas Christian,Big 12,6.0,27.0,50.0,318.0,0.0,1.0,17.0,100.0,0.0
Alex Escobar,2021,New Mexico State,Ind,,,,,,,14.0,81.0,0.0
Alex Escobar,2022,New Mexico State,Ind,,,,,,,19.0,57.0,0.0
Alex Flinn,2024,East Carolina,American,12.0,159.0,290.0,1558.0,6.0,12.0,96.0,188.0,0.0
Alex Fontenot,2020,Colorado,Pac-12,,,,,,,185.0,874.0,5.0
Alex Fontenot,2022,Colorado,Pac-12,,,,,,,96.0,326.0,5.0
Alex Fontenot,2023,Colorado,Pac-12,,,,,,,65.0,315.0,2.0
Alex Harris,2020,UCF,American,,,,,,,1.0,-5.0,0.0
Alex Honig,2024,Connecticut,Ind,2.0,0.0,1.0,0.0,0.0,0.0,,,
Alex Hornibrook,2020,Florida State,ACC,5.0,84.0,122.0,986.0,7.0,2.0,29.0,-71.0,0.0
Alex Mastromanno,2024,Florida State,ACC,,,,,,,1.0,-11.0,0.0
Alex Netherda,2020,California,Pac-12,,,,,,,4.0,15.0,0.0
Alex Orji,2023,Michigan,Big Ten,3.0,1.0,1.0,5.0,0.0,0.0,6.0,37.0,2.0
Alex Orji,2024,Michigan,Big Ten,,,,,,,15.0,86.0,1.0
Alex Padilla,2021,Iowa,Big Ten,2.0,1.0,2.0,12.0,0.0,0.0,2.0,7.0,0.0
Alex Padilla,2022,Iowa,Big Ten,9.0,55.0,112.0,636.0,2.0,2.0,17.0,-25.0,1.0
Alex Padilla,2023,Iowa,Big Ten,2.0,21.0,43.0,173.0,1.0,2.0,9.0,-35.0,0.0
Alex Padilla,2024,SMU,American,4.0,5.0,7.0,59.0,0.0,0.0,,,
Alex Raynor,2023,Georgia Southern,Sun Belt,,,,,,,1.0,3.0,0.0
Alex Smith,2024,Georgia Southern,Sun Belt,,,,,,,2.0,27.0,0.0
Alex Tecza,2024,Navy,American,,,,,,,126.0,758.0,5.0
Alex Thomson,2020,Marshall,CUSA,3.0,8.0,9.0,123.0,1.0,0.0,7.0,22.0,0.0
Alexander Horvath,2020,Purdue,Big Ten,,,,,,,79.0,377.0,2.0
Alexander Horvath,2021,Purdue,Big Ten,,,,,,,89.0,442.0,2.0
Alexander Horvath,2022,Purdue,Big Ten,,,,,,,91.0,320.0,3.0
Alexy Jean-Baptiste,2020,Florida International,CUSA,,,,,,,1.0,2.0,0.0
Alfred Armour,2020,Purdue,Big Ten,,,,,,,2.0,3.0,0.0
Allan Walters,2020,Vanderbilt,SEC,3.0,2.0,9.0,36.0,0.0,1.0,,,
Alonza Barnett III,2023,James Madison,Sun Belt,2.0,1.0,1.0,14.0,0.0,0.0,4.0,15.0,0.0
Alonza Barnett III,2024,James Madison,Sun Belt,2.0,3.0,11.0,15.0,0.0,1.0,5.0,29.0,1.0
Alphonzo Andrews Jr.,2020,Wyoming,MWC,,,,,,,1.0,1.0,0.0
Alred Luke,2023,Louisiana-Monroe,Sun Belt,,,,,,,8.0,23.0,0.0
Alton McCaskill,2022,Houston,American,,,,,,,189.0,961.0,16.0
Alton McCaskill,2024,Colorado,Pac-12,,,,,,,14.0,59.0,0.0
Amaad Foston,2024,Virginia,ACC,,,,,,,5.0,29.0,0.0
Amad Anderson Jr.,2021,Purdue,Big Ten,,,,,,,1.0,8.0,0.0
Amad Anderson Jr.,2022,Temple,American,11.0,0.0,1.0,0.0,0.0,1.0,1.0,-9.0,0.0
Amad Anderson Jr.,2023,Temple,American,,,,,,,4.0,-4.0,0.0
Amad Anderson Jr.,2024,Temple,American,,,,,,,2.0,-6.0,0.0
Amare Jones,2020,Tulane,American,13.0,1.0,4.0,27.0,0.0,0.0,61.0,371.0,4.0
Amare Jones,2021,Tulane,American,10.0,0.0,1.0,0.0,0.0,1.0,67.0,389.0,2.0
Amare Jones,2022,Georgia Southern,Sun Belt,10.0,4.0,8.0,45.0,0.0,1.0,41.0,196.0,0.0
Amare Jones,2023,Georgia Southern,Sun Belt,,,,,,,1.0,-2.0,0.0
Amare Thomas,2024,UAB,American,,,,,,,4.0,40.0,0.0
Amari Daniels,2022,Texas A&M,SEC,,,,,,,20.0,119.0,1.0
Amari Daniels,2023,Texas A&M,SEC,,,,,,,36.0,200.0,0.0
Amari Daniels,2024,Texas A&M,SEC,,,,,,,105.0,532.0,6.0
Amari Johnson,2022,UCF,American,,,,,,,7.0,27.0,1.0
Amari Johnson,2024,UCF,Big 12,,,,,,,2.0,3.0,0.0
Amari McMahon,2020,Ohio State,Big Ten,,,,,,,1.0,10.0,0.0
Amari Rodgers,2020,Clemson,ACC,14.0,0.0,1.0,0.0,0.0,0.0,2.0,50.0,1.0
Amari Rodgers,2021,Clemson,ACC,12.0,1.0,1.0,8.0,0.0,0.0,,,
Amari Terry,2022,Air Force,MWC,,,,,,,4.0,11.0,0.0
Amari Terry,2023,Air Force,MWC,,,,,,,2.0,11.0,0.0
Amauri Pesek-Hickson,2021,Kansas,Big 12,,,,,,,40.0,145.0,0.0
Amauri Pesek-Hickson,2022,Kansas,Big 12,,,,,,,60.0,218.0,0.0
Amir Hassan,2023,Navy,American,,,,,,,1.0,3.0,0.0
Amir Hassan,2024,Navy,American,,,,,,,12.0,28.0,0.0
Amir Rasul,2022,Middle Tennessee State,CUSA,,,,,,,46.0,110.0,0.0
Amon-Ra St. Brown,2020,USC,Pac-12,,,,,,,7.0,60.0,1.0
An'darius Coffey,2023,Memphis,American,,,,,,,15.0,83.0,0.0
Anderson Castle,2021,Appalachian State,Sun Belt,,,,,,,17.0,104.0,0.0
Anderson Castle,2022,Appalachian State,Sun Belt,,,,,,,47.0,236.0,3.0
Anderson Castle,2023,Appalachian State,Sun Belt,,,,,,,26.0,167.0,2.0
Anderson Castle,2024,Appalachian State,Sun Belt,,,,,,,53.0,283.0,2.0
Andre Baccellia,2020,Washington,Pac-12,,,,,,,4.0,35.0,1.0
Andre Bodison,2022,New Mexico State,Ind,,,,,,,1.0,4.0,0.0
Andre Collins Jr.,2021,Nevada-Las Vegas,MWC,,,,,,,2.0,-4.0,0.0
Andre Hines,2024,Boston College,ACC,,,,,,,6.0,37.0,0.0
Andre Washington,2022,Oklahoma State,Big 12,,,,,,,2.0,8.0,0.0
Andrel Anthony,2022,Michigan,Big Ten,,,,,,,1.0,6.0,0.0
Andrel Anthony,2023,Michigan,Big Ten,,,,,,,1.0,-2.0,0.0
Andres Borregales,2023,Miami (FL),ACC,,,,,,,1.0,7.0,0.0
Andrew Armstrong,2024,Arkansas,SEC,,,,,,,1.0,3.0,0.0
Andrew Brito,2020,Massachusetts,Ind,10.0,93.0,170.0,830.0,7.0,6.0,34.0,-86.0,0.0
Andrew Brito,2021,Massachusetts,Ind,3.0,1.0,1.0,-5.0,0.0,0.0,,,
Andrew Brito,2022,UCF,American,3.0,2.0,2.0,35.0,0.0,0.0,3.0,6.0,0.0
Andrew Bunch,2020,Nebraska,Big Ten,2.0,1.0,6.0,13.0,0.0,0.0,2.0,-1.0,0.0
Andrew Clair,2020,Bowling Green,MAC,,,,,,,68.0,244.0,4.0
Andrew Clair,2021,Bowling Green,MAC,,,,,,,52.0,266.0,0.0
Andrew Clair,2022,Northwestern,Big Ten,,,,,,,63.0,349.0,1.0
Andrew Clair,2023,Northwestern,Big Ten,,,,,,,18.0,94.0,1.0
Andrew David,2020,Northwestern,Big Ten,,,,,,,1.0,17.0,0.0
Andrew Erickson,2022,New Mexico,MWC,11.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Andrew Erickson,2023,New Mexico,MWC,,,,,,,1.0,7.0,0.0
Andrew Glass,2022,Kent State,MAC,,,,,,,1.0,8.0,0.0
Andrew Glass,2024,Kent State,MAC,,,,,,,2.0,6.0,0.0
